"","Kategorie1","Karte.11","Karte.21","Hand1","Wert1","Kategorie2","Karte.12","Karte.22","Hand2","Wert2","Spw"
"18","mittel",8,9,17,17,"mittel",9,8,17,17,0
"23","tief",8,7,15,15,"über",10,11,21,0,1
"23.1","tief",8,7,15,15,"hoch",11,8,19,19,-1
"1","über",11,11,22,0,"mittel",9,9,18,18,-1
"18.1","mittel",8,9,17,17,"mittel",10,8,18,18,-1
"19","mittel",7,10,17,17,"tief",8,7,15,15,1
"10","hoch",9,10,19,19,"tief",8,8,16,16,1
"21","tief",8,8,16,16,"über",10,10,20,0,1
"3","über",10,11,21,0,"tief",7,8,15,15,-1
"10.1","hoch",9,10,19,19,"tief",8,8,16,16,1
"17","mittel",9,8,17,17,"über",11,10,21,0,1
"13","mittel",9,9,18,18,"mittel",10,8,18,18,0
"24","tief",7,8,15,15,"mittel",7,11,18,18,-1
"7","hoch",11,8,19,19,"über",9,11,20,0,1
"3.1","über",10,11,21,0,"hoch",11,8,19,19,-1
"1.1","über",11,11,22,0,"hoch",9,10,19,19,-1
